_KEY,pattern_hash,pattern,pattern_parts,part_0,pattern_terminator,timestamp_format
$hu7vwOKJxu6,$hu7vwOKJxu6,$(yy/MM/dd HH:mm:ss) INFO storage.DiskBlockManager: Created local directory at //opt//hdfs//nodemanager//$//$//$//application_$_$//blockmgr-$-$-$-$-$,__TENX_TS__ INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/blockmgr-@@-@@-@@-@@-,,,%y/%m/%d %H:%M:%S
$b4vF3zxxbyg,$b4vF3zxxbyg,$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: MemoryStore started with capacity $.$ MB,__TENX_TS__ INFO storage.MemoryStore: MemoryStore started with capacity @@.,, MB,%y/%m/%d %H:%M:%S
$kQhEtBTUSOq,$kQhEtBTUSOq,$(yy/MM/dd HH:mm:ss) INFO executor.CoarseGrainedExecutorBackend: Connecting to driver: akka.$:////$.$.$.$:$//user//CoarseGrainedScheduler,__TENX_TS__ INFO executor.CoarseGrainedExecutorBackend: Connecting to driver: akka.@@://@@.@@.@@.@@:,,/user/CoarseGrainedScheduler,%y/%m/%d %H:%M:%S
hvJQhYhAgdx,hvJQhYhAgdx,$(yy/MM/dd HH:mm:ss) INFO executor.CoarseGrainedExecutorBackend: Successfully registered with driver,,,__TENX_TS__ INFO executor.CoarseGrainedExecutorBackend: Successfully registered with driver,%y/%m/%d %H:%M:%S
gX70KMw38qD,gX70KMw38qD,$(yy/MM/dd HH:mm:ss) INFO executor.Executor: Starting executor ID $ on host mesos-$$,__TENX_TS__ INFO executor.Executor: Starting executor ID @@ on host mesos-@@,,,%y/%m/%d %H:%M:%S
$kIJdb3crGxD,$kIJdb3crGxD,$(yy/MM/dd HH:mm:ss) INFO util.Utils: Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port $.,__TENX_TS__ INFO util.Utils: Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port ,,.,%y/%m/%d %H:%M:%S
fXqOjOC9xcb,fXqOjOC9xcb,$(yy/MM/dd HH:mm:ss) INFO netty.NettyBlockTransferService: Server created on $,__TENX_TS__ INFO netty.NettyBlockTransferService: Server created on ,,,%y/%m/%d %H:%M:%S
$hkUJ0Shz5Zs,$hkUJ0Shz5Zs,$(yy/MM/dd HH:mm:ss) INFO storage.BlockManagerMaster: Trying to register BlockManager,,,__TENX_TS__ INFO storage.BlockManagerMaster: Trying to register BlockManager,%y/%m/%d %H:%M:%S
$gL8UAcB5SfW,$gL8UAcB5SfW,$(yy/MM/dd HH:mm:ss) INFO storage.BlockManagerMaster: Registered BlockManager,,,__TENX_TS__ INFO storage.BlockManagerMaster: Registered BlockManager,%y/%m/%d %H:%M:%S
$cnYO9h9ytia,$cnYO9h9ytia,$(yy/MM/dd HH:mm:ss) INFO executor.Executor: Using REPL class URI: http:////$.$.$.$:$,__TENX_TS__ INFO executor.Executor: Using REPL class URI: http://@@.@@.@@.@@:,,,%y/%m/%d %H:%M:%S
$hbnPp4xAAqg,$hbnPp4xAAqg,$(yy/MM/dd HH:mm:ss) INFO executor.CoarseGrainedExecutorBackend: Got assigned task $,__TENX_TS__ INFO executor.CoarseGrainedExecutorBackend: Got assigned task ,,,%y/%m/%d %H:%M:%S
cgmMF5nzurX,cgmMF5nzurX,$(yy/MM/dd HH:mm:ss) INFO executor.Executor: Running task $.$ in stage $.$ (TID $),__TENX_TS__ INFO executor.Executor: Running task @@.@@ in stage @@.@@ (TID ,,),%y/%m/%d %H:%M:%S
hvqFE1FViaN,hvqFE1FViaN,$(yy/MM/dd HH:mm:ss) INFO broadcast.TorrentBroadcast: Started reading broadcast variable $,__TENX_TS__ INFO broadcast.TorrentBroadcast: Started reading broadcast variable ,,,%y/%m/%d %H:%M:%S
$e6LpOR07UZ8,$e6LpOR07UZ8,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: ensureFreeSpace($) called with $=$, maxMem=$","__TENX_TS__ INFO storage.MemoryStore: ensureFreeSpace(@@) called with @@=@@, maxMem=",,,%y/%m/%d %H:%M:%S
$cnKwT3vlCHO,$cnKwT3vlCHO,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: Block broadcast_$_$ stored as bytes in memory (estimated size $.$ B, free $.$ MB)","__TENX_TS__ INFO storage.MemoryStore: Block broadcast_@@_@@ stored as bytes in memory (estimated size @@.@@ B, free @@.",, MB),%y/%m/%d %H:%M:%S
$fazHH1na3D8,$fazHH1na3D8,$(yy/MM/dd HH:mm:ss) INFO broadcast.TorrentBroadcast: Reading broadcast variable $ took $ ms,__TENX_TS__ INFO broadcast.TorrentBroadcast: Reading broadcast variable @@ took ,, ms,%y/%m/%d %H:%M:%S
$dzlzKtpPHn9,$dzlzKtpPHn9,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: Block broadcast_$ stored as values in memory (estimated size $.$ B, free $.$ MB)","__TENX_TS__ INFO storage.MemoryStore: Block broadcast_@@ stored as values in memory (estimated size @@.@@ B, free @@.",, MB),%y/%m/%d %H:%M:%S
$j2KYQH8Curv,$j2KYQH8Curv,"$(yy/MM/dd HH:mm:ss) INFO rdd.BinaryFileRDD: Input split: $://$//dataset//$//$_img_test//$_test_$.$:$+$,//$//dataset//$//$_img_test//$_test_$.$:$+$","__TENX_TS__ INFO rdd.BinaryFileRDD: Input split: @@:/@@/dataset/@@/@@_img_test/@@_test_@@.@@:@@+@@,/@@/dataset/@@/@@_img_test/@@_test_@@.@@:@@+",,,%y/%m/%d %H:%M:%S
ifrUlDnN0xo,ifrUlDnN0xo,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: Block broadcast_$_$ stored as bytes in memory (estimated size $.$ KB, free $.$ MB)","__TENX_TS__ INFO storage.MemoryStore: Block broadcast_@@_@@ stored as bytes in memory (estimated size @@.@@ KB, free @@.",, MB),%y/%m/%d %H:%M:%S
$gGbA53QmSG3,$gGbA53QmSG3,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: Block broadcast_$ stored as values in memory (estimated size $.$ KB, free $.$ MB)","__TENX_TS__ INFO storage.MemoryStore: Block broadcast_@@ stored as values in memory (estimated size @@.@@ KB, free @@.",, MB),%y/%m/%d %H:%M:%S
k5BjbC0a9P,k5BjbC0a9P,$(yy/MM/dd HH:mm:ss) INFO executor.Executor: Finished task $.$ in stage $.$ (TID $). $ bytes result sent to driver,__TENX_TS__ INFO executor.Executor: Finished task @@.@@ in stage @@.@@ (TID @@). ,, bytes result sent to driver,%y/%m/%d %H:%M:%S
fFbOdOf1gmG,fFbOdOf1gmG,$(yy/MM/dd HH:mm:ss) INFO rdd.BinaryFileRDD: Input split: $://$//dataset//$//$_img_test//$_test_$.$:$+$,__TENX_TS__ INFO rdd.BinaryFileRDD: Input split: @@:/@@/dataset/@@/@@_img_test/@@_test_@@.@@:@@+,,,%y/%m/%d %H:%M:%S
$icntwvfd7j6,$icntwvfd7j6,"$(yy/MM/dd HH:mm:ss) INFO rdd.BinaryFileRDD: Input split: $://$//dataset//$//$_img_test//$_test_$.$:$+$,//$//dataset//$//$_img_test//$_test_$.$:$+$,//$//dataset//$//$_img_test//$_test_$.$:$+$","__TENX_TS__ INFO rdd.BinaryFileRDD: Input split: @@:/@@/dataset/@@/@@_img_test/@@_test_@@.@@:@@+@@,/@@/dataset/@@/@@_img_test/@@_test_@@.@@:@@+@@,/@@/dataset/@@/@@_img_test/@@_test_@@.@@:@@+",,,%y/%m/%d %H:%M:%S
$iwEMgCl8vS8,$iwEMgCl8vS8,"$(yy/MM/dd HH:mm:ss) INFO rdd.BinaryFileRDD: Input split: $://$//dataset//$//$_img_test//$_test_$.$:$+$,//$//dataset//$//$_img_test//$_test_$.$:$+$,//$//dataset//$//$_img_test//$_test_$.$:$+$,//$//dataset//$//$_img_test//$_test_$.$:$+$","__TENX_TS__ INFO rdd.BinaryFileRDD: Input split: @@:/@@/dataset/@@/@@_img_test/@@_test_@@.@@:@@+@@,/@@/dataset/@@/@@_img_test/@@_test_@@.@@:@@+@@,/@@/dataset/@@/@@_img_test/@@_test_@@.@@:@@+@@,/@@/dataset/@@/@@_img_test/@@_test_@@.@@:@@+",,,%y/%m/%d %H:%M:%S
$o9r5tUkmH3,$o9r5tUkmH3,$(yy/MM/dd HH:mm:ss) ERROR executor.CoarseGrainedExecutorBackend: Driver $.$.$.$:$ disassociated! Shutting down.,__TENX_TS__ ERROR executor.CoarseGrainedExecutorBackend: Driver @@.@@.@@.@@:,, disassociated! Shutting down.,%y/%m/%d %H:%M:%S
$dL4EbdsUUox,$dL4EbdsUUox,$(yy/MM/dd HH:mm:ss) INFO storage.DiskBlockManager: Shutdown hook called,,,__TENX_TS__ INFO storage.DiskBlockManager: Shutdown hook called,%y/%m/%d %H:%M:%S
$fghIDle3lJk,$fghIDle3lJk,"$(yy/MM/dd HH:mm:ss) INFO util.Utils: Shutdown hook called
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file://opt//hdfs//nodemanager//$//$//$//$//spark-$-1.$.$-$.$.$.$//org//slf4j//impl//$.class]
SLF4J: Found binding in [jar:file://$//local//hadoop//share//hadoop//common//lib//slf4j-$-1.$.$.$//org//slf4j//impl//$.class]
SLF4J: See http:////www.slf4j.org//codes.$_bindings for an $.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]","__TENX_TS__ INFO util.Utils: Shutdown hook called
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/opt/hdfs/nodemanager/@@/@@/@@/@@/spark-@@-1.@@.@@-@@.@@.@@.@@/org/slf4j/impl/@@.class]
SLF4J: Found binding in [jar:file:/@@/local/hadoop/share/hadoop/common/lib/slf4j-@@-1.@@.@@.@@/org/slf4j/impl/@@.class]
SLF4J: See http://www.slf4j.org/codes.@@_bindings for an ",,".
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]",%y/%m/%d %H:%M:%S
g7C83EPHbty,g7C83EPHbty,$(yy/MM/dd HH:mm:ss) INFO storage.DiskBlockManager: Created local directory at //opt//hdfs//nodemanager//$//$//$//application_$_$//blockmgr-$-$$-$-$,__TENX_TS__ INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/blockmgr-@@-@@@@-@@-,,,%y/%m/%d %H:%M:%S
$cN8AqfV7Z,$cN8AqfV7Z,$(yy/MM/dd HH:mm:ss) INFO storage.DiskBlockManager: Created local directory at //opt//hdfs//nodemanager//$//$//$//application_$_$//blockmgr-$-$$-$$,__TENX_TS__ INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/blockmgr-@@-@@@@-@@,,,%y/%m/%d %H:%M:%S
87AvwWGgIJ,87AvwWGgIJ,$(yy/MM/dd HH:mm:ss) INFO storage.DiskBlockManager: Created local directory at //opt//hdfs//nodemanager//$//$//$//application_$_$//blockmgr-$$-$-$-$,__TENX_TS__ INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/blockmgr-@@@@-@@-@@-,,,%y/%m/%d %H:%M:%S
cQCeeaEUCBF,cQCeeaEUCBF,$(yy/MM/dd HH:mm:ss) INFO storage.DiskBlockManager: Created local directory at //opt//hdfs//nodemanager//$//$//$//application_$_$//blockmgr-$-$-$$-$,__TENX_TS__ INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/blockmgr-@@-@@-@@@@-,,,%y/%m/%d %H:%M:%S
$jAQiRYw64kg,$jAQiRYw64kg,$(yy/MM/dd HH:mm:ss) INFO storage.DiskBlockManager: Created local directory at //opt//hdfs//nodemanager//$//$//$//application_$_$//blockmgr-$$$-$-$,__TENX_TS__ INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/blockmgr-@@@@@@-@@-,,,%y/%m/%d %H:%M:%S
$dGDzYuCeZ3D,$dGDzYuCeZ3D,$(yy/MM/dd HH:mm:ss) INFO storage.DiskBlockManager: Created local directory at //opt//hdfs//nodemanager//$//$//$//application_$_$//blockmgr-$$-$$-$,__TENX_TS__ INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/blockmgr-@@@@-@@@@-,,,%y/%m/%d %H:%M:%S
$gMb6xg4fqNP,$gMb6xg4fqNP,$(yy/MM/dd HH:mm:ss) INFO util.Utils: Shutdown hook called,,,__TENX_TS__ INFO util.Utils: Shutdown hook called,%y/%m/%d %H:%M:%S
$gjX9aEw50hR,$gjX9aEw50hR,$(yy/MM/dd HH:mm:ss) INFO util.Utils: Successfully started service '$' on port $.,__TENX_TS__ INFO util.Utils: Successfully started service '@@' on port ,,.,%y/%m/%d %H:%M:%S
wlpx0bHitc,wlpx0bHitc,$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: MemoryStore started with capacity $.$ GB,__TENX_TS__ INFO storage.MemoryStore: MemoryStore started with capacity @@.,, GB,%y/%m/%d %H:%M:%S
jMkG3PLJjgO,jMkG3PLJjgO,$(yy/MM/dd HH:mm:ss) INFO executor.CoarseGrainedExecutorBackend: Connecting to driver: spark:////$.$.$.$:$,__TENX_TS__ INFO executor.CoarseGrainedExecutorBackend: Connecting to driver: spark://@@.@@.@@.@@:,,,%y/%m/%d %H:%M:%S
$glfT3VrCp2l,$glfT3VrCp2l,$(yy/MM/dd HH:mm:ss) INFO executor.CoarseGrainedExecutorBackend: Driver commanded a shutdown,,,__TENX_TS__ INFO executor.CoarseGrainedExecutorBackend: Driver commanded a shutdown,%y/%m/%d %H:%M:%S
$iDweaPxt74,$iDweaPxt74,$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: MemoryStore cleared,,,__TENX_TS__ INFO storage.MemoryStore: MemoryStore cleared,%y/%m/%d %H:%M:%S
jG8kmnr8iO0,jG8kmnr8iO0,$(yy/MM/dd HH:mm:ss) INFO storage.BlockManager: BlockManager stopped,,,__TENX_TS__ INFO storage.BlockManager: BlockManager stopped,%y/%m/%d %H:%M:%S
hlVZ6KAUS3F,hlVZ6KAUS3F,$(yy/MM/dd HH:mm:ss) WARN executor.CoarseGrainedExecutorBackend: An unknown (mesos-master-1:$) driver disconnected.,__TENX_TS__ WARN executor.CoarseGrainedExecutorBackend: An unknown (mesos-master-1:,,) driver disconnected.,%y/%m/%d %H:%M:%S
$jAoTJTUS0V8,$jAoTJTUS0V8,$(yy/MM/dd HH:mm:ss) INFO util.ShutdownHookManager: Shutdown hook called,,,__TENX_TS__ INFO util.ShutdownHookManager: Shutdown hook called,%y/%m/%d %H:%M:%S
dEEPWOW6YPb,dEEPWOW6YPb,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: Block broadcast_$_$ stored as bytes in memory (estimated size $.$ KB, free $.$ KB)","__TENX_TS__ INFO storage.MemoryStore: Block broadcast_@@_@@ stored as bytes in memory (estimated size @@.@@ KB, free @@.",, KB),%y/%m/%d %H:%M:%S
c7sWSEbf8W2,c7sWSEbf8W2,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: Block broadcast_$ stored as values in memory (estimated size $.$ KB, free $.$ KB)","__TENX_TS__ INFO storage.MemoryStore: Block broadcast_@@ stored as values in memory (estimated size @@.@@ KB, free @@.",, KB),%y/%m/%d %H:%M:%S
$cqIcSLbPXVe,$cqIcSLbPXVe,"$(yy/MM/dd HH:mm:ss) INFO spark.CacheManager: Partition rdd_$_$ not found, computing it",__TENX_TS__ INFO spark.CacheManager: Partition rdd_@@_,," not found, computing it",%y/%m/%d %H:%M:%S
bXhjipiUhc5,bXhjipiUhc5,$(yy/MM/dd HH:mm:ss) INFO rdd.HadoopRDD: Input split: hdfs:////$.$.$.$:$//$//logs//$.log:$+$,__TENX_TS__ INFO rdd.HadoopRDD: Input split: hdfs://@@.@@.@@.@@:@@/@@/logs/@@.log:@@+,,,%y/%m/%d %H:%M:%S
gu1LY0yYry7,gu1LY0yYry7,"$(yy/MM/dd HH:mm:ss) INFO Configuration.$: mapred.$.id is deprecated. $, use mapreduce.task.id",__TENX_TS__ INFO Configuration.@@: mapred.@@.id is deprecated. ,,", use mapreduce.task.id",%y/%m/%d %H:%M:%S
$h5Y4paO9Vkk,$h5Y4paO9Vkk,"$(yy/MM/dd HH:mm:ss) INFO Configuration.$: mapred.task.id is deprecated. $, use mapreduce.task.attempt.id",__TENX_TS__ INFO Configuration.@@: mapred.task.id is deprecated. ,,", use mapreduce.task.attempt.id",%y/%m/%d %H:%M:%S
bE1b3gu4RP8,bE1b3gu4RP8,"$(yy/MM/dd HH:mm:ss) INFO Configuration.$: mapred.task.is.map is deprecated. $, use mapreduce.task.ismap",__TENX_TS__ INFO Configuration.@@: mapred.task.is.map is deprecated. ,,", use mapreduce.task.ismap",%y/%m/%d %H:%M:%S
$iXoWVomgXaK,$iXoWVomgXaK,"$(yy/MM/dd HH:mm:ss) INFO Configuration.$: mapred.task.partition is deprecated. $, use mapreduce.task.partition",__TENX_TS__ INFO Configuration.@@: mapred.task.partition is deprecated. ,,", use mapreduce.task.partition",%y/%m/%d %H:%M:%S
gPZpEi5XkBx,gPZpEi5XkBx,"$(yy/MM/dd HH:mm:ss) INFO Configuration.$: mapred.job.id is deprecated. $, use mapreduce.job.id",__TENX_TS__ INFO Configuration.@@: mapred.job.id is deprecated. ,,", use mapreduce.job.id",%y/%m/%d %H:%M:%S
$e07UtNhUTyY,$e07UtNhUTyY,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: Block broadcast_$_$ stored as bytes in memory (estimated size $.$ B, free $.$ KB)","__TENX_TS__ INFO storage.MemoryStore: Block broadcast_@@_@@ stored as bytes in memory (estimated size @@.@@ B, free @@.",, KB),%y/%m/%d %H:%M:%S
$fDvWarvjp1D,$fDvWarvjp1D,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: Block broadcast_$ stored as values in memory (estimated size $.$ B, free $.$ KB)","__TENX_TS__ INFO storage.MemoryStore: Block broadcast_@@ stored as values in memory (estimated size @@.@@ B, free @@.",, KB),%y/%m/%d %H:%M:%S
$fBZZPKktOkR,$fBZZPKktOkR,"$(yy/MM/dd HH:mm:ss) INFO python.PythonRunner: Times: total = $, boot = $, init = $, finish = $","__TENX_TS__ INFO python.PythonRunner: Times: total = @@, boot = @@, init = @@, finish = ",,,%y/%m/%d %H:%M:%S
egaIXzJ9d5u,egaIXzJ9d5u,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: Block rdd_$_$ stored as bytes in memory (estimated size $.$ B, free $.$ KB)","__TENX_TS__ INFO storage.MemoryStore: Block rdd_@@_@@ stored as bytes in memory (estimated size @@.@@ B, free @@.",, KB),%y/%m/%d %H:%M:%S
h5t4j9TwG2h,h5t4j9TwG2h,$(yy/MM/dd HH:mm:ss) INFO storage.BlockManager: Found block rdd_$_$ locally,__TENX_TS__ INFO storage.BlockManager: Found block rdd_@@_,, locally,%y/%m/%d %H:%M:%S
c9l5UnMw60R,c9l5UnMw60R,"$(yy/MM/dd HH:mm:ss) INFO python.PythonRunner: Times: total = $, boot = -1, init = $, finish = $","__TENX_TS__ INFO python.PythonRunner: Times: total = @@, boot = -1, init = @@, finish = ",,,%y/%m/%d %H:%M:%S
$kKHsOxtuq3N,$kKHsOxtuq3N,$(yy/MM/dd HH:mm:ss) INFO output.FileOutputCommitter: File Output Committer $ version is $,__TENX_TS__ INFO output.FileOutputCommitter: File Output Committer @@ version is ,,,%y/%m/%d %H:%M:%S
$fu5qNe1Z9Ds,$fu5qNe1Z9Ds,$(yy/MM/dd HH:mm:ss) INFO output.FileOutputCommitter: Saved output of task 'attempt_$_$_m_$_$' to hdfs:////$.$.$.$:$//$//test//$//_temporary//$//task_$_$_m_$,__TENX_TS__ INFO output.FileOutputCommitter: Saved output of task 'attempt_@@_@@_m_@@_@@' to hdfs://@@.@@.@@.@@:@@/@@/test/@@/_temporary/@@/task_@@_@@_m_,,,%y/%m/%d %H:%M:%S
cg5ZYfsVlNG,cg5ZYfsVlNG,$(yy/MM/dd HH:mm:ss) INFO mapred.SparkHadoopMapRedUtil: attempt_$_$_m_$_$: Committed,__TENX_TS__ INFO mapred.SparkHadoopMapRedUtil: attempt_@@_@@_m_@@_,,: Committed,%y/%m/%d %H:%M:%S
$gexIjokJzww,$gexIjokJzww,"$(yy/MM/dd HH:mm:ss) INFO storage.MemoryStore: Block rdd_$_$ stored as bytes in memory (estimated size $.$ B, free $.$ MB)","__TENX_TS__ INFO storage.MemoryStore: Block rdd_@@_@@ stored as bytes in memory (estimated size @@.@@ B, free @@.",, MB),%y/%m/%d %H:%M:%S
$fy9dfjCQ08A,$fy9dfjCQ08A,$(yy/MM/dd HH:mm:ss) INFO util.ShutdownHookManager: Deleting directory //opt//hdfs//nodemanager//$//$//$//application_$_$//spark-$$-$-$-$,__TENX_TS__ INFO util.ShutdownHookManager: Deleting directory /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/spark-@@@@-@@-@@-,,,%y/%m/%d %H:%M:%S
gulwLKLt7Lz,gulwLKLt7Lz,$(yy/MM/dd HH:mm:ss) INFO $: $ started; listening on addresses :[akka.$:////$-master-1:$],__TENX_TS__ INFO @@: @@ started; listening on addresses :[akka.@@://@@-master-1:,,],%y/%m/%d %H:%M:%S
c1qzgTUNRJe,c1qzgTUNRJe,$(yy/MM/dd HH:mm:ss) INFO executor.Executor: Starting executor ID $ on host mesos-master-1,__TENX_TS__ INFO executor.Executor: Starting executor ID ,, on host mesos-master-1,%y/%m/%d %H:%M:%S
gfe2PBlbTZj,gfe2PBlbTZj,"$(yy/MM/dd HH:mm:ss) INFO $: Registered signal handlers for [TERM, HUP, INT]",__TENX_TS__ INFO ,,": Registered signal handlers for [TERM, HUP, INT]",%y/%m/%d %H:%M:%S
$iiUaW0TSsIl,$iiUaW0TSsIl,$(yy/MM/dd HH:mm:ss) INFO $: $: $_$_$_$,__TENX_TS__ INFO @@: @@: @@_@@_@@_,,,%y/%m/%d %H:%M:%S
$dTI5xZiigwk,$dTI5xZiigwk,"$(yy/MM/dd HH:mm:ss) INFO SecurityManager: Changing view acls to: yarn,$","__TENX_TS__ INFO SecurityManager: Changing view acls to: yarn,",,,%y/%m/%d %H:%M:%S
$gUUg7bKuoWq,$gUUg7bKuoWq,"$(yy/MM/dd HH:mm:ss) INFO SecurityManager: Changing modify acls to: yarn,$","__TENX_TS__ INFO SecurityManager: Changing modify acls to: yarn,",,,%y/%m/%d %H:%M:%S
$f1Q18QALUfX,$f1Q18QALUfX,"$(yy/MM/dd HH:mm:ss) INFO SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, $); users with modify permissions: Set(yarn, $)","__TENX_TS__ INFO SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, @@); users with modify permissions: Set(yarn, ",,),%y/%m/%d %H:%M:%S
$fSg9uIgllc4,$fSg9uIgllc4,$(yy/MM/dd HH:mm:ss) INFO $: Waiting for Spark driver to be $.,__TENX_TS__ INFO @@: Waiting for Spark driver to be ,,.,%y/%m/%d %H:%M:%S
